Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
NCI-H661,1970.1574225025483,17114.12598147645,-1392.0011393795544,-1283.1621481036127,2030.6687902458239,835.9662847409433,1267.659419901321,4808.441229557681,1056.289499243495,-5106.152456520182,Other
NCI-H684,582.1123251728262,-1183.8042981334784,-492.479968722415,435.9584597673396,-662.1468207483182,535.0881288711996,-485.3411351996833,3718.1943618290857,-113.96912612571495,1571.7107178091323,Other
NCI-H69,-4466.627129731721,-3731.7015981576137,-2043.857688820793,-1447.7321748955742,2219.6515201813495,2981.0886567783114,-5040.766423697524,4816.064467385748,-523.6052121526217,7246.554264676868,Other
NCI-H716,7391.265988741081,475.5095896365407,-1775.2838721698417,-1195.2944504816437,1735.7520819530691,1580.8540786872845,5723.10632614982,9192.732529242116,559.2266419835702,3606.8066742882183,Other
NCI-H727,-2627.642891551033,-5409.380437318251,-4656.066852833035,-3241.348795840837,4381.703858088566,1545.670166341602,-3783.7627865703985,3927.6389157772423,205.99883506095279,778.4745919050375,Other
NCI-H747,7577.028034448792,1164.6627665890023,-756.5080200120735,-81.93419846326398,135.46476415150337,1826.6295052658384,-2562.7287136488817,8577.90699392572,700.9445626070014,-898.5982154167899,Other
NCI-H810,-7340.285949555858,24900.411202344963,310.957577410739,-299.1468837369014,602.2986242344525,3699.890008745017,-5322.803063549239,13347.59647496173,-238.7270802537336,8248.175783435923,Other
NCI-H82,-17847.939710669492,2945.564175357903,3198.6057761552956,3938.9175202964625,-5686.814674934362,710.6826373631666,-2879.8659709722115,2684.0002819077245,-726.5468235959246,4036.4631840937755,Other
NCI-H838,-32996.05997543622,-1259.7316251106845,1034.0781300929307,3134.1155301442586,-5959.476029530307,-2543.4879353064393,-1008.1775079888693,-74.15363342258914,-899.0298562891995,366.46905749166035,Other
NCI-H841,33010.29139860897,-7752.72992741537,940.0146679791624,1380.673185427152,-2038.7796962354832,-1037.3231051342655,17265.666418161207,8511.938034411936,1395.7787493370042,451.96928877670007,Other
NCI-H854,1322.308259684546,-11022.116864168704,-5879.391850602395,-2964.997665873704,3666.7470866675776,-2929.9855227162548,3476.3552204110883,-1805.9136911093412,603.839804236566,-4650.574416846624,Other
NCI-H889,7849.7169225369325,-9644.655716223067,1103.9701210100163,1474.9488196493367,-1164.6261328359044,3564.2526263886853,-9437.945252051692,6421.945398003036,79.96805464560784,-2908.1269470076145,Other
NCI-H929,-28857.014475120068,-6261.295776858685,31623.198338852242,-86.47373498207345,-4367.401867482125,-253.38443369246403,4667.963273330389,-4187.687827584145,3914.6556131480947,-8056.841131568431,Other
NCI-N87,7490.537597420853,-4820.12479812165,2632.3739562563374,3338.513019355798,-5388.252285142141,-907.401495423194,-3286.9894330514658,-1665.2736699870893,-1250.1832291307996,4977.22012730237,Other
OUMS-23,37328.94655256512,1187.2167214031206,1759.0309005453184,1676.978035793404,-2001.9656171683027,-715.1262888665347,-2642.213965006318,-6319.923572531164,-1414.2140287117925,3935.5461709907527,Other
OV-90,-10196.36537941313,7285.558204999913,-2763.080756802857,-1824.9830159740452,1219.1966376077164,-684.5099766651671,-2416.7188980827245,77.25677317550664,-422.04842683495593,495.24902927454457,Other
OV56,-15019.098953503482,3409.236443524135,-2181.279396746055,294.29569957359683,-1469.4834566137467,-3543.045003776925,-2971.9888067481397,-3278.068913568866,641.37157564511,-11020.700664502032,Other
OV7,-16616.785833525122,1773.607475831527,-6909.33487740335,-4048.168530129048,4378.141217298487,-4106.131817633224,4757.468248815524,-5016.294341660846,833.3450515496241,-4100.787508483414,Other
Panc 03.27,73375.31419475189,-5852.477233254474,1418.297869740475,379.7104927278212,-769.0979088422418,-636.5929334948904,2048.254878028659,307.31116163249607,520.5521532552344,913.1486132686757,Other
Panc 04.03,27568.75652523405,40518.388162862415,590.6686045386713,-1030.3398166840566,1748.295084802382,1210.672340438007,-6848.581097398601,5603.753253333548,620.6948565527333,-1861.03065188256,Other
Panc 05.04,17761.10391477791,-8734.75494728555,-4313.762778376218,-2840.2065768407624,3716.5459166462397,-298.13763029733326,-1876.0565891277363,-795.4262473492147,232.48861114485905,-2444.2061252035437,Other
Panc 08.13,-10910.878196448293,6615.988226724213,-3686.609160201577,-1769.9746593363564,1855.2035553334513,-851.6412428216131,1793.1591779808314,10056.724239098425,1569.1173442573308,-4817.857987562434,Other
Panc0.05,-4567.719609120848,-4575.90719172965,-2309.1642827864694,-620.4881770077933,440.45926919301166,34.216900706583694,-1808.84028333737,5635.600673498744,351.9934094476159,-1676.956810101475,Other
