Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
NCI-H520,-19458.122522519843,-4532.401015792249,3862.0379765372013,-6626.358891506751,1795.3619040658446,-1928.1002212220199,-2724.62678960959,-722.7260839031263,-791.196297647365,431.02953419523885,Other
NCI-H522,-23061.69708333925,12880.310440043699,3223.915599186621,-2050.3039842975945,-1501.9825536295923,8567.685711788437,690.6242398133412,8719.530518942005,11797.631725814997,443.3378943997729,Other
NCI-H524,-18440.267467926897,-1219.7461034788976,7470.70859959781,-7291.597841549712,4214.392143551392,-1818.681496977394,-2644.909428136336,1628.3643359752355,-2119.2758511211428,145.44337971801616,Other
NCI-H526,-19187.27553773722,8951.895121632953,-3199.4126128615862,-12709.795822409382,8503.210139582141,-4134.279676265619,-6486.485798923022,248.9927243742124,125.19841529995574,1323.4580373474673,Other
NCI-H596,-11179.808080601013,5464.861689119546,-12111.58311854354,8183.675937472054,6518.9720849822115,387.2472748527358,-220.62422843821201,-513.4794824044072,8900.154555090006,5603.329413329411,Other
NCI-H647,13729.64274074353,-320.1171616579947,-3609.4099656271023,3018.773786776629,-1841.414616339876,4980.937920056264,-1121.0681052762918,-8854.912855751787,1029.4118178709698,-2964.3085356158986,Other
NCI-H650,-15660.352549057081,10766.747476677161,-413.5150811651083,2874.254375506882,-415.7379037831054,2899.106206561773,770.9213058089344,-449.8942184261137,-7586.690106086608,1012.2083705908426,Other
NCI-H660,7280.462825392254,-2092.188554496271,-2689.4164049300375,-8385.264699471583,-860.0484461751035,-9399.527365735887,-1448.0883506983091,2098.2291681400147,2795.5964218418535,2873.337003740248,Other
NCI-H661,1937.5460556388143,17088.39815285621,-2852.8778620331755,554.0380102379725,5474.043346399656,4361.964877344887,-8401.778463919763,5747.662278692603,2421.525690510014,-80.43095263032669,Other
NCI-H684,496.5784319469068,-1217.2090207803528,336.00258907182035,-999.2406896472776,3340.7455752665437,-1259.6724017166823,2435.6719760552664,-807.1878546473548,773.4305009535319,3802.5443232871653,Other
NCI-H69,-4523.138889255645,-3772.7522415508506,-3365.4202488739475,-6123.407570549417,4378.730129445266,-7535.38562241947,-2231.0757681431846,2549.448202175032,1309.9149330384894,1117.5949113530285,Other
NCI-H716,7343.74244163016,439.91689776460385,-2920.512744723416,4310.30213327429,10037.786142652072,-3865.0992597778686,-777.5301177728107,205.3411908881193,2238.8527349911483,-958.9953285965249,Other
NCI-H727,-2713.4586531383557,-5533.054325970869,-7166.9265023360085,-4221.28739285549,2931.705338969988,-109.80143645711325,684.5011191645542,-35.5348542395611,3094.87491354809,6489.053297263994,Other
NCI-H747,7490.786061030267,1111.6277298102864,-618.7362290667639,-3632.5833381483235,8181.728890340551,1121.0215854463056,2239.791209825172,1146.7528562051114,-2737.270610944746,1903.9994230542397,Other
NCI-H810,-7399.870608595483,24930.0249453919,-801.3291525916876,-7262.325304362018,12786.071428049647,-8264.602194413948,4708.7699442380745,-365.62396594762754,-3458.7793711005224,-2768.8188206117825,Other
NCI-H82,-17914.320239358865,3017.808922753005,7700.525786307653,-3388.4213654726777,2488.881102265746,-4600.036224908334,-6038.547042915702,979.4153536317675,-1566.8295285898735,103.65933848551737,Other
NCI-H838,-33089.58282846818,-1271.9114018887055,6461.8579098194205,-169.62902509132772,-1261.5046764459757,691.4771603483285,7713.601236353271,-11481.128322429815,4027.312968563089,-2110.4772173327597,Other
NCI-H841,33003.08335971518,-7705.556678732385,2592.4967380597104,16218.40810339567,11016.650679364755,-1189.8796995004684,-1398.3904321849705,3965.401864931715,5646.005633264509,-5732.2632446179605,Other
NCI-H854,1195.875287419096,-11191.16551590187,-7185.853182917818,4504.704732263015,-3111.039152672394,6641.189781042062,4750.1451051631375,-3734.0983616659587,-5575.467597292076,25036.921615885207,Other
NCI-H889,7820.263938903147,-9598.588294262292,2293.922881819466,-10651.329858076566,5803.928456910665,2560.700453055515,-7036.8628925937865,962.450096889033,946.1396335592771,974.826232790146,Other
NCI-H929,-27817.801413143643,-4948.277673429152,18670.985203735294,4281.052807185616,-1565.708901245163,6082.243970597102,-1616.9925702318715,-1528.6836216559652,-1128.6270982564038,-1084.3281992002749,Other
NCI-N87,7387.639230749347,-4822.5824766455635,6989.041444803463,-2924.7040464178876,-2640.9083976451457,-4797.778852374029,524.5725505704187,-456.09194716741985,-3615.809924770973,3362.1155869380673,Other
OUMS-23,37303.17449006522,1248.7414206602768,3129.70015353743,-1883.9959252273766,-6762.18046266905,-3815.4589643246986,-1859.972177888892,-4606.716805248376,3992.3194929049655,-710.2961728071788,Other
OV-90,-10303.149646830203,7175.328002918229,-3444.7807491867047,-1959.0905747025254,-1046.2184885681384,775.4924280432434,12589.771315861995,-10472.570186523351,11179.502189639064,-6682.852700423074,Other
OV56,-15110.178604191422,3321.9063314884243,119.89557963859244,-1264.594790822265,-4779.453242909426,12633.306566168307,6494.7402022578,-8753.493030526623,2658.8364232138247,-1491.464279500709,Other
OV7,-16695.696142363333,1607.587439378465,-8616.62640079113,6427.6895756919,-5565.741898149057,4826.256927500577,3982.9969836455252,3174.9963966997307,-8588.605261582074,45.936689838700154,Other
Panc 03.27,73375.23628076543,-5797.64345020577,1456.8048987393563,2222.8152640148364,195.04413736281458,-668.1942768620937,9006.427190629605,5999.388325150452,-3310.3315718242407,2058.861241688689,Other
Panc 04.03,27475.50914228918,40502.42612733113,-1977.5828667231776,-7377.296921015128,4312.816186774865,2431.5620120465924,5878.429281407527,1190.1233552437013,-4080.1236444068736,4426.598743752235,Other
Panc 05.04,17651.88284361616,-8934.709000324307,-6254.937085346738,-1606.8833429263566,-1804.9774401043992,3161.3210268615617,25.2975898453626,2180.674770556116,-1331.0776152045619,11643.723015795105,Other
Panc 08.13,-11049.281332948267,6432.982716395484,-4254.791331774248,1297.3179386540514,9112.232291531272,6044.285925408824,6283.200411285837,-467.1346756073605,11.594828165607085,7428.666108490644,Other
Panc0.05,-4678.47327425358,-4689.528990864544,-1813.513726837912,-2127.4300802274283,4598.2494589734215,2542.244156102188,3612.8889062970347,-2799.8466933996133,-321.3416064137332,5922.492511134945,Other
Peer,22370.988082230226,-18902.893429708765,-393.1276904294716,-377.1851572577688,5016.58091561996,-2660.827456566993,1535.4469293546078,5010.385272616683,3212.052898012494,-2684.0201903966845,Other
Pfeiffer,-19961.67922093616,-5896.392768050187,9709.762974407293,-316.05564355008374,3249.752854556853,-3015.7391875158833,-4404.197904421287,53.95797991926888,-2629.0029583761816,-1511.3320805752032,Other
PrEC LH,57082.56995945694,-3299.643551337433,-13143.735415052734,3585.761944585043,-13222.125492062505,1054.022683779692,-19678.647436332183,-316.3815300869785,-163.38280981911112,-8909.789188672987,Other
QGP-1,-14551.4035932555,24492.511419985127,5368.428375973301,2211.869783506358,96.46912254352257,-6901.215235675031,-721.1780381313514,-925.4514906059137,179.3728379539609,1211.2707287799033,Other
RCC10RGB,-13943.898916934198,5248.241956173484,-1651.2020092187308,-5245.861925246927,-4655.214185234838,1278.3869505905716,4768.359456517753,-2462.530848032144,-4482.364441152431,-2795.349025039729,Other
RCH-ACV,-19344.925264583486,-9013.340701750823,11310.904643682687,793.077486509859,-1317.1728556015414,-2746.8575509893153,717.7988775912377,3594.989591875312,-885.5430423360993,-1360.1505790582887,Other
RCM-1 [Human rectal adenocarcinoma],46655.75049963248,26758.572606626258,7221.368912412848,-11394.865834786564,-9299.396314296388,7864.024260533509,-2522.1396756210847,-3778.614596104002,4187.864538678219,7283.380581004316,Other
RD,-13145.148959531874,-4322.693704781318,-4468.084186779095,-5304.900301825754,1165.0804176647755,-2464.730544767949,-969.4862791490452,2748.469566941966,-2083.0069088208406,-1587.38541191128,Other
RD-ES,-4759.504188821712,-5658.677866970039,4363.207217319982,-4004.4748759834247,459.3802283430685,-5478.3720702827295,-3067.6203412440336,-2099.0865102775774,-945.6793357618685,-122.31965409635414,Other
REC-1,-549.7918210161686,-6200.749405316535,11930.052326478506,4042.825841129184,-1104.82199809726,-6661.886906763801,4921.171454993835,5827.892198948664,1514.1309790641683,-1861.013310063358,Other
REH,-35052.07861089533,-64.6516644813708,6011.028603580506,-1713.7742717485003,356.75426376704496,-4591.639701835493,-2657.1980004040875,4358.033485229645,2710.6172193851457,-680.8470385815588,Other
RERF-GC-1B,10907.572067345372,-6800.039155039747,39.718706780913045,6218.499102471832,5247.764269027932,-4806.656115747676,-1123.8336289716503,-5753.211765792417,2395.406805993926,-3198.095245716561,Other
RERF-LC-A1,5510.078407489295,892.1361790865889,1352.213027965497,12731.180046577236,4799.847436177985,-1180.2081625495696,-2164.754183316238,1410.3115894921953,1536.6015864307544,-2120.2902956640655,Other
RERF-LC-Ad1,-16887.885101227137,7988.144350038395,-9369.901668346958,-1182.9381440411325,1200.4623216111436,-506.3149246760092,1065.747993449163,119.78205814056098,-377.4537618745219,4062.264014228643,Other
RERF-LC-Ad2,80943.91473164945,600.2810096164123,-322.6273424988317,-3341.8170603166504,-4968.746652500469,4189.385336229315,-8720.872476122908,2946.612960476731,-1545.2960044312251,1673.1777672057078,Other
RERF-LC-KJ,-20331.830968410493,-1091.6795699753297,-5923.57600540246,5582.702662244141,-3921.487149656569,2198.575367923476,1093.09422553117,-3526.341818840354,-4792.133442304399,22683.67369841585,Other
RERF-LC-MS,11732.529215189536,-896.7772622621644,-6925.252170975104,5701.679054771739,6897.542898691755,3397.9383445270323,4941.691756964393,-6197.362610704352,3716.558794063302,-2111.6199000325255,Other
RERF-LC-Sq1,-5986.605198440476,-6278.800966305168,-16341.745370772016,2807.1264890233197,-2171.074937770213,353.00253813636397,125.07283802139496,4086.85403194965,1624.996346181446,-8744.502535811864,Other
RKN,-13363.357445631178,-5916.04438487216,-982.9882504333897,4021.2778212049916,-2531.3025934141338,296.5774567842831,1867.3655438989742,-1188.568873794774,-6608.7816048600735,-2832.64147405165,Other
RKO,-20952.210184067753,-15212.306300198596,18497.178543512888,-1678.0920386543135,-1204.5593482832971,8802.329767108602,1719.355825152484,-4283.584077837958,-6391.910303420266,2343.539782296467,Other
RL,-10324.382187170413,-8641.912595801163,8607.805974952156,1641.4901491398384,2849.957885421359,-3637.0009263475395,-5244.5669042219,1524.4173056267755,-2121.4685015316854,-827.6996028769343,Other
RL95-2,28244.49867841807,-5845.767838268573,-928.1952047126742,-4170.261161807648,77.9605420644741,-215.5710438698892,1086.4277298482461,5582.930986867566,1764.6605414616397,2600.746468247715,Other
RMG-I,6829.896459469771,11673.036123632035,11622.585013025075,7214.606266591169,-5446.835844661205,2737.3061550155116,570.3630067218442,-5793.150450197288,6945.4652700682855,1873.519705979555,Other
RMUG-S,8496.289397997902,-3301.389256028163,-1574.5806095283017,8841.312155435913,9032.359407109281,-3195.3177226201165,7916.730078035296,-9417.807409200428,4372.297873225601,-2176.3713288958756,Other
Panc 02.13,46367.2490483849,468.480786442418,-8579.788064656828,-8421.057138373853,2376.573972535699,250.65298810155974,1303.581214081561,783.2851578360873,1769.46685865771,3712.575553446044,Other
NCI-H322,50648.54068710548,15241.868476647405,-1710.9558234902038,4980.795919772688,12665.69606786868,7199.386838088587,-3931.2519512132067,1000.2180256094103,-645.0569752328805,-716.6094758103495,Other
Panc 02.03,110998.79974871025,1161.8095872506356,3213.614586209917,-18438.684032434223,3508.4808816505265,-5440.976054778789,27799.66622999556,4168.880399378015,-14182.494318348296,-3833.0691664687265,Other
PaTu 8988s,72464.16133364238,-211.20448510254158,5194.243094885469,10265.952453469814,-6500.44283067226,-3940.114821693396,-5900.604156312095,-24.35557417350513,-1623.73438668971,3358.752445487577,Other
OVCAR-3,1579.2274507184372,-2443.506333660417,-1183.3564581956264,-11293.336450524292,7059.294922598219,-3839.1812638835654,8015.017520952516,240.5863084065397,-3681.1980824669968,2203.1275501447585,Other
OVCAR-4,48149.66121050129,-15128.376365612226,-2855.4308363482,5583.180979792701,6358.613541662935,-295.4110219187062,5099.03464473129,4798.0892259208385,748.1064528061415,-4105.42927125375,Other
OVCAR-8,-28919.055938969497,-3667.1089464570955,750.7718145855483,530.3329199831697,1082.2245208812935,5175.799753881837,1373.846542443777,1883.1025248540925,-6310.311099651097,-794.3483269993616,Other
OVISE,37485.52646945296,-16024.006214584359,5421.906322243661,4449.076171697652,2685.0327867691635,-4692.9508061186425,4458.0687829741555,-2031.3578474666863,-2061.4177872593964,-1903.627940697033,Other
OVK18,-29686.161479305287,19237.424449156744,1756.2675668868435,-2434.3257517055386,-6183.391355830922,-6375.251093980563,-1543.9929386720041,6170.981084625298,3755.17984586148,948.5283361752735,Other
OVKATE,39204.84522082492,12902.478404086123,-8241.414402237728,-17932.937117474346,-7980.113482564155,-8055.401998410947,9142.942450788421,1787.185662823985,491.0613371425329,8587.62544018033,Other
OVMANA,138146.26467027725,44210.58421111157,7680.851191658554,-21287.323519773694,-16162.010880645465,19247.78306519295,-11339.15044488774,67.95082191996153,5941.908258034664,4390.781463992289,Other
OVSAHO,-3320.9318151124844,904.8658584641794,11137.38245872184,310.4308570786157,461.0816199951536,3723.806406512566,1899.240042581849,-52.42722364411221,-5869.012941635323,-1023.3903108617797,Other
OVTOKO,72538.58458996832,-1767.2192922990685,-1475.6908552788043,1032.583812156745,-9264.153051263862,3107.488635143023,2485.1938150922088,-1698.3899393849217,-2410.6863675376258,-942.8776646315537,Other
P12-Ichikawa,-21284.10061177102,4067.3049649204454,9723.978096411805,-1361.3307381316906,629.3077512428737,-1981.0859201978599,-2660.17123081454,4034.0872277176,1701.2534774585072,-823.4496815221545,Other
P31/FUJ,-27282.221745761835,2481.9050281595473,2037.3770355120719,-3607.4135548402596,781.6323515259234,-3749.3662901275943,82.25159529326463,871.7836765362248,5763.891821444073,-1758.9905684184373,Other
P3HR-1,-21320.485994791972,-8961.336853210954,12957.833366217923,-4196.919637112306,745.3222409890685,-797.8442025770827,-1149.3068782092796,2646.0551066093717,-2453.0150272771652,-679.296055526905,Other
PANC-1,-17253.495957667976,1476.644417932482,-5013.32575409714,2441.277740500835,3631.772631499089,-1773.0337942561637,-668.2009196825632,126.31555711739522,-1264.6370045232056,3802.086469489386,Other
PC-14,25367.25697069414,11442.92365755508,495.9598280754581,10735.204151884285,10147.658963121035,1543.184019534312,4341.522347909989,-1613.423649915422,1636.6344303208195,-3159.826935541594,Other
PC-3,10275.388971135184,3558.438088474128,-3602.6567563027334,-5461.732254375786,839.2476449078396,3401.5510865024416,2766.6864428630342,-1873.5060519220444,-1476.833714315683,8281.5696059621,Other
PC-9,8594.110289523742,13097.749490939948,6185.941518014486,3054.4099391563423,13051.058537759516,10060.405595254291,2778.98789008977,-2395.4367124398523,2288.0995893028353,-701.2804772142816,Other
PE/CA-PJ15,99496.87769386247,-13232.784968672973,106.12033782563192,14823.038921290128,-7643.808586643485,-9387.926939426194,-5165.896528157479,1754.0912941810598,25.334234524599317,-857.670759444781,Other
PE/CA-PJ34 (clone C12),-1322.6052052814089,-704.9748961969531,1521.4603026951927,6409.950420632421,4573.478305699992,137.91055305267255,2801.4320260951017,1205.9378642965066,-3631.3615823612336,2040.316101993755,Other
PE/CA-PJ41 (clone D2),116035.33590429115,56867.11063370651,2847.174551395128,-2089.049403182453,661.157444878647,26806.933903983798,-17848.719379376118,2670.9628812820947,-772.4437921179672,1175.9158940616205,Other
PE/CA-PJ49,21300.695587222046,-2647.382293623215,-1323.6630520587873,8179.645728185444,-5860.138586823551,-9178.061854281703,4814.585974550173,-1143.3171760853297,-4638.931528352978,-3460.8502029468327,Other
PF-382,-23483.49187987831,-2318.0283843684438,8547.148123974326,1470.1981606859695,-1766.7872241170944,-132.0442318804988,-3131.861864772558,7242.362839254935,7455.8547219476195,89.94319973565042,Other
PK-1,5930.354911754167,-8713.59555734539,-1064.8467171023917,1217.7329228887093,-1173.439262370174,-5369.572176010623,2069.9345234887055,2070.041628628397,-102.86368926619977,1845.825004985238,Other
PK-45H,123.73027007594293,-2899.4734350598005,-2570.0212644928083,14720.819680563116,4544.145768105103,2484.455107770796,-1712.9378294495575,1514.1487318508412,2377.515920374595,3365.354472537026,Other
PK-59,-17817.380383211574,26713.40995356225,9890.348849511554,3089.9847011836214,-1732.074871809887,10633.439184261271,-4610.31549803214,-3628.3345076899964,5480.673872034392,5031.309146420772,Other
PL-21,-13860.592082938389,-2500.6925567223343,22978.707809263207,4719.9918174961,-4590.675439017154,9148.977814044089,-791.0187160706035,-1197.8872081143086,1657.970000448213,-3462.423881494788,Other
PLB-985,-22235.95829424439,-5896.642870556557,28821.407034556774,4986.294749464019,-6802.048921841622,13425.290142573322,-1367.0314067670802,-742.0473350298041,692.306884011308,-2893.6335871787305,Other
PLC/PRF/5,15583.916397196828,433.38887110615366,-2757.3555526103924,-510.7726520004772,9503.86135843867,-1607.1113832713002,6272.5956170666395,-855.9786777880603,6447.719040685487,-4774.533752713522,Other
PSN1,-33061.98230342843,4467.760668151189,7769.052804193315,-995.3233184402445,-1563.9257405172311,7655.776020278848,-442.0784267454507,-392.56432864205226,1511.7828640949522,6569.718447164878,Other
PaTu 8902,13621.203668478525,-13328.496119447585,2606.9896884689615,3920.896437597763,-43.42522335769445,13.606719369704425,3072.473283665424,-54.314589600152615,-3179.6810844610645,1070.1945269905918,Other
PaTu 8988t,-26708.2072611671,-4444.007728333939,5394.424545297444,-978.5390835192783,-727.4487789466954,-309.534490174255,-4314.213135028098,-1821.8289285312565,-3579.9514784249363,-1075.293259795466,Other
NCI-H3122,9313.762782433467,-7715.851148826607,1159.6852267160327,4257.668843819496,3945.0941693880063,6273.101494845221,5544.103543107253,-6010.033613962703,-4841.254437925973,16941.011605623004,Other
NCI-H292,75846.02260013903,24534.654612596707,-407.2882737218777,13149.184545091894,6392.051688531244,1696.420985599653,-7286.932676482618,5451.238735232157,-6459.626052774299,-3997.2176858338876,Other
NCI-H2887,8050.028105588921,-12870.212373005255,-7089.85780946697,2269.6402138760072,1297.6904852559023,4749.776461348102,-1069.48840964102,812.5009499931313,2294.296647189942,3538.641844305302,Other
MUTZ-5,-24518.749108261778,14963.87675638654,19466.818203686016,4698.34295949072,-3429.906801148051,120.35956147153568,168.00131564583938,5023.899728149732,94.99592331906327,-2072.854299344346,Other
MV4-11,-219.60357082010248,282.01427978453984,12477.309867592881,4968.552667801568,-4663.916593450682,-1152.9937436429163,1332.0885533288658,154.58758740499943,4053.4622073996898,-4254.995154649516,Other
Malme-3M,29710.193955251078,244.69302342342428,-8191.474871455931,7698.4936982287845,1512.554981989097,-4849.298989314075,-4658.282242088698,-1221.7003213590867,-2966.8763091296323,-760.7970564954132,Other
MeWo,-6882.292874802493,-2876.3774012452777,-2945.9210525904946,-42.62656863177404,2031.8467020220992,722.1761465684417,-4323.916002950042,-3812.7650912860263,-181.30131963719015,-477.34042268339067,Other
Mel Ho,16971.19657796936,-3857.05339061736,-5077.263276136834,6563.164373472779,7302.60448999909,-3711.18996710152,-2733.039442601063,-2497.2261019653265,-1284.172330856214,-6426.713776417574,Other
Mel JuSo,-9545.474628317306,-10629.928631555258,-6334.581430114323,872.9500635582482,3398.892192018594,1554.8152254689558,-1165.7963491213811,375.8590572106981,-8135.464725133165,1167.4243677099855,Other
Mino,-3909.0705902596205,-1991.5282367023362,5698.1478854203715,-2037.2133536760175,-3690.350623539044,-5784.529186650696,2894.080242688053,6270.22375532387,5939.216367317164,-2317.7216903052176,Other
Mono-Mac-1,-18367.35075172078,177.91551104349597,6653.959372768823,-1972.2872274466938,-2160.5568406482616,784.6954200908409,3254.1879265577772,4845.012383738868,7953.144912259158,-1366.5480726766975,Other
Mono-Mac-6,-23254.851588615362,-4065.8853121857155,6902.197444739163,-3507.3150663679053,593.7716355707591,-724.9303384981969,433.2029016530054,289.66751830809636,3455.7885977559094,-2915.8262587481877,Other
